,Date,State,Unemployment Rate (S),1-Month Net Change,1-Month % Change
384,2019-07-01,Massachusetts,2.9,0.0,0.0
385,2019-08-01,Massachusetts,2.8,-0.1,-3.4
386,2019-09-01,Massachusetts,2.8,0.0,0.0
387,2019-10-01,Massachusetts,2.8,0.0,0.0
388,2019-11-01,Massachusetts,2.8,0.0,0.0
389,2019-12-01,Massachusetts,2.8,0.0,0.0
390,2020-01-01,Massachusetts,2.8,0.0,0.0
391,2020-02-01,Massachusetts,2.8,0.0,0.0
392,2020-03-01,Massachusetts,2.8,0.0,0.0
393,2020-04-01,Massachusetts,16.2,13.4,478.6
394,2020-05-01,Massachusetts,16.6,0.4,2.5
395,2020-06-01,Massachusetts,17.4,0.8,4.8
396,2019-01-01,Michigan,4.2,0.1,2.4
397,2019-02-01,Michigan,4.2,0.0,0.0
398,2019-03-01,Michigan,4.3,0.1,2.4
399,2019-04-01,Michigan,4.3,0.0,0.0
400,2019-05-01,Michigan,4.2,-0.1,-2.3
401,2019-06-01,Michigan,4.2,0.0,0.0
402,2019-07-01,Michigan,4.1,-0.1,-2.4
403,2019-08-01,Michigan,4.0,-0.1,-2.4
404,2019-09-01,Michigan,3.9,-0.1,-2.5
405,2019-10-01,Michigan,3.9,0.0,0.0
406,2019-11-01,Michigan,3.9,0.0,0.0
407,2019-12-01,Michigan,3.9,0.0,0.0
408,2020-01-01,Michigan,3.8,-0.1,-2.6
409,2020-02-01,Michigan,3.6,-0.2,-5.3
410,2020-03-01,Michigan,4.3,0.7,19.4
411,2020-04-01,Michigan,24.0,19.7,458.1
412,2020-05-01,Michigan,21.3,-2.7,-11.3
413,2020-06-01,Michigan,14.8,-6.5,-30.5
414,2019-01-01,Minnesota,3.2,0.1,3.2
415,2019-02-01,Minnesota,3.2,0.0,0.0
416,2019-03-01,Minnesota,3.2,0.0,0.0
417,2019-04-01,Minnesota,3.2,0.0,0.0
418,2019-05-01,Minnesota,3.2,0.0,0.0
419,2019-06-01,Minnesota,3.2,0.0,0.0
420,2019-07-01,Minnesota,3.2,0.0,0.0
421,2019-08-01,Minnesota,3.2,0.0,0.0
422,2019-09-01,Minnesota,3.2,0.0,0.0
423,2019-10-01,Minnesota,3.3,0.1,3.1
424,2019-11-01,Minnesota,3.3,0.0,0.0
425,2019-12-01,Minnesota,3.3,0.0,0.0
426,2020-01-01,Minnesota,3.2,-0.1,-3.0
427,2020-02-01,Minnesota,3.1,-0.1,-3.1
428,2020-03-01,Minnesota,2.9,-0.2,-6.5
